VEP,Accuracy,Sensitivity,Specificity,BER,MCC,AUROC,Rank_score,N_prediction
AlphaMissense,0.856,0.818,0.874,0.154,0.679,0.921,0.766,458
MetaRNN,0.935,0.961,0.923,0.058,0.861,0.986,0.734,463
SIGMA,0.858,0.794,0.892,0.157,0.685,0.919,0.727,366
REVEL,0.879,0.890,0.875,0.118,0.739,0.947,0.727,448
VARITY_ER_LOO,0.847,0.807,0.867,0.163,0.663,0.918,0.727,439
VESPA,0.851,0.776,0.887,0.168,0.663,0.890,0.727,463
VARITY_ER,0.852,0.821,0.867,0.156,0.674,0.917,0.719,439
gMVP,0.854,0.825,0.868,0.153,0.675,0.936,0.711,398
MutScore,0.865,0.923,0.838,0.120,0.722,0.947,0.703,451
BayesDel_noAF,0.868,0.928,0.838,0.117,0.731,0.933,0.703,461
BayesDel_addAF,0.913,0.934,0.903,0.081,0.814,0.974,0.703,461
DeepSAV,0.851,0.884,0.836,0.140,0.689,0.925,0.703,451
MISTIC,0.859,0.874,0.852,0.137,0.697,0.929,0.695,425
VARITY_R,0.847,0.841,0.850,0.154,0.671,0.921,0.695,439
VARITY_R_LOO,0.845,0.841,0.847,0.156,0.667,0.921,0.695,439
ClinPred,0.904,0.967,0.873,0.080,0.806,0.971,0.688,460
VEST4,0.838,0.939,0.790,0.136,0.685,0.931,0.680,456
EVE,0.840,0.862,0.825,0.157,0.676,0.904,0.680,293
InMeRF,0.820,0.877,0.791,0.166,0.635,0.921,0.625,416
MutPred,0.812,0.936,0.663,0.200,0.632,0.905,0.625,229
CPT,0.846,0.657,0.933,0.205,0.630,0.931,0.625,434
ESM1v,0.808,0.847,0.790,0.181,0.599,0.899,0.617,359
MetaLR,0.788,0.803,0.781,0.208,0.557,0.862,0.609,462
CAPICE,0.798,0.848,0.773,0.189,0.590,0.889,0.609,416
LASSIE,0.800,0.841,0.780,0.190,0.591,0.863,0.602,415
MetaSVM,0.812,0.789,0.823,0.194,0.593,0.872,0.602,462
PONP2,0.774,0.854,0.736,0.205,0.554,0.879,0.578,381
DEOGEN2,0.823,0.729,0.869,0.201,0.599,0.882,0.578,423
PROVEAN,0.807,0.874,0.774,0.176,0.612,0.884,0.578,440
PhDSNP,0.805,0.895,0.761,0.172,0.619,0.897,0.562,462
MVP,0.782,0.913,0.705,0.191,0.597,0.875,0.562,408
SIFT4G,0.803,0.886,0.763,0.176,0.612,0.890,0.555,457
MutFormer,0.782,0.844,0.752,0.202,0.564,0.882,0.547,409
Polyphen2_HVAR,0.797,0.929,0.730,0.171,0.622,0.905,0.547,418
ESM1b,0.798,0.913,0.743,0.172,0.616,0.908,0.539,461
Polyphen2_HDIV,0.756,0.964,0.651,0.192,0.584,0.890,0.500,418
DANN,0.741,0.717,0.752,0.265,0.450,0.803,0.484,463
Envision,0.751,0.788,0.732,0.240,0.492,0.818,0.484,445
SIFT,0.756,0.930,0.672,0.199,0.564,0.894,0.461,438
LRT,0.716,0.676,0.735,0.294,0.394,0.753,0.438,426
MutationAssessor,0.752,0.886,0.691,0.211,0.535,0.895,0.414,395
LIST-S2,0.736,0.913,0.649,0.219,0.530,0.856,0.414,455
FATHMM,0.667,0.586,0.707,0.353,0.284,0.731,0.414,432
UNEECON,0.816,0.536,0.957,0.254,0.573,0.868,0.406,414
integrated_fitCons,0.550,0.475,0.586,0.469,0.058,0.502,0.391,431
fathmm-XF_coding,0.709,0.830,0.649,0.260,0.450,0.814,0.383,429
bStatistic,0.536,0.507,0.550,0.472,0.053,0.519,0.375,461
HUVEC_fitCons,0.564,0.340,0.672,0.494,0.013,0.496,0.359,431
Eigen-PC,0.805,0.567,0.920,0.256,0.537,0.873,0.352,430
H1-hESC_fitCons,0.531,0.404,0.593,0.501,-0.003,0.452,0.352,431
Eigen,0.807,0.567,0.924,0.254,0.542,0.893,0.352,430
SuSPect,0.784,0.553,0.897,0.275,0.487,0.823,0.344,463
CADD,0.797,0.526,0.929,0.272,0.516,0.896,0.344,463
phastCons17way_primate,0.650,0.428,0.759,0.407,0.191,0.650,0.336,463
GM12878_fitCons,0.524,0.298,0.634,0.534,-0.067,0.481,0.328,431
SiPhy,0.688,0.480,0.790,0.365,0.278,0.756,0.305,462
PrimateAI,0.787,0.557,0.893,0.275,0.483,0.835,0.289,447
M-CAP,0.638,0.961,0.413,0.313,0.419,0.851,0.258,370
MPC,0.759,0.261,0.984,0.377,0.393,0.823,0.234,370
GERP++,0.665,0.349,0.820,0.416,0.187,0.708,0.219,463
fathmm-MKL_coding,0.587,0.941,0.415,0.322,0.365,0.778,0.211,463
GenoCanyon,0.410,0.928,0.158,0.457,0.119,0.693,0.125,463
MutationTaster,0.342,1.000,0.019,0.490,0.080,0.713,0.109,462
phastCons100way_vertebrate,0.672,0.000,1.000,0.500,0.000,0.739,0.039,463
phastCons470way_mammalian,0.670,0.000,1.000,0.500,0.000,0.712,0.039,461
