VEP,Accuracy,Sensitivity,Specificity,BER,MCC,AUROC,Rank_score,N_prediction
MetaRNN,0.947,0.914,0.953,0.066,0.820,0.983,0.938,14053
BayesDel_addAF,0.939,0.876,0.952,0.086,0.791,0.977,0.938,14037
ClinPred,0.925,0.960,0.918,0.061,0.777,0.980,0.898,13947
VARITY_R,0.922,0.839,0.938,0.112,0.735,0.965,0.883,13494
VARITY_R_LOO,0.921,0.836,0.938,0.113,0.733,0.964,0.883,13494
VARITY_ER,0.925,0.800,0.950,0.125,0.735,0.963,0.883,13494
MutScore,0.921,0.840,0.936,0.112,0.729,0.959,0.883,13797
BayesDel_noAF,0.916,0.845,0.930,0.112,0.722,0.962,0.867,14037
AlphaMissense,0.925,0.798,0.950,0.126,0.733,0.960,0.867,13995
VARITY_ER_LOO,0.925,0.796,0.950,0.127,0.733,0.963,0.828,13494
REVEL,0.922,0.796,0.947,0.129,0.724,0.958,0.828,13418
MISTIC,0.912,0.798,0.933,0.135,0.689,0.942,0.828,13212
gMVP,0.915,0.792,0.939,0.135,0.698,0.953,0.805,12416
VEST4,0.904,0.920,0.901,0.089,0.716,0.963,0.758,13854
DeepSAV,0.904,0.845,0.916,0.120,0.693,0.945,0.758,13907
CPT,0.920,0.620,0.978,0.201,0.681,0.965,0.750,13476
ESM1v,0.903,0.846,0.914,0.120,0.690,0.940,0.734,10767
EVE,0.826,0.797,0.847,0.178,0.644,0.896,0.719,4030
CAPICE,0.898,0.832,0.911,0.129,0.671,0.945,0.703,13109
InMeRF,0.891,0.818,0.905,0.139,0.650,0.938,0.672,13102
ESM1b,0.885,0.857,0.890,0.126,0.654,0.929,0.656,14030
SIGMA,0.821,0.758,0.855,0.193,0.610,0.882,0.648,5579
LASSIE,0.882,0.810,0.896,0.147,0.631,0.937,0.641,12893
MetaSVM,0.896,0.695,0.936,0.185,0.625,0.901,0.625,13948
Polyphen2_HVAR,0.884,0.856,0.889,0.128,0.651,0.940,0.625,12881
PONP2,0.880,0.844,0.887,0.135,0.641,0.936,0.625,11672
PROVEAN,0.876,0.826,0.886,0.144,0.625,0.928,0.602,13343
SIFT4G,0.871,0.844,0.877,0.140,0.621,0.928,0.594,13847
MVP,0.875,0.813,0.887,0.150,0.620,0.930,0.570,13698
DEOGEN2,0.899,0.685,0.941,0.187,0.628,0.926,0.570,13208
MutFormer,0.871,0.800,0.885,0.157,0.601,0.929,0.547,13013
VESPA,0.893,0.672,0.936,0.196,0.607,0.888,0.539,14040
SIFT,0.858,0.886,0.852,0.131,0.615,0.932,0.531,13286
Polyphen2_HDIV,0.850,0.903,0.840,0.129,0.610,0.929,0.477,12881
Envision,0.861,0.784,0.877,0.170,0.579,0.898,0.469,13634
fathmm-XF_coding,0.849,0.851,0.848,0.150,0.582,0.904,0.469,13281
MutationAssessor,0.872,0.849,0.876,0.137,0.618,0.936,0.469,12386
PhDSNP,0.856,0.865,0.854,0.141,0.604,0.926,0.453,13975
Eigen,0.899,0.521,0.971,0.254,0.580,0.949,0.406,13329
MetaLR,0.872,0.688,0.908,0.202,0.562,0.912,0.406,13948
SuSPect,0.891,0.534,0.961,0.253,0.562,0.890,0.375,14015
Eigen-PC,0.895,0.504,0.969,0.263,0.561,0.942,0.375,13329
LIST-S2,0.831,0.854,0.827,0.160,0.559,0.908,0.367,13454
DANN,0.847,0.581,0.899,0.260,0.463,0.890,0.344,14053
CADD,0.891,0.490,0.970,0.270,0.553,0.945,0.336,14053
LRT,0.843,0.679,0.877,0.222,0.508,0.874,0.328,12452
UNEECON,0.890,0.484,0.968,0.274,0.544,0.933,0.320,12878
M-CAP,0.761,0.939,0.725,0.168,0.512,0.926,0.258,13408
PrimateAI,0.874,0.472,0.949,0.289,0.477,0.904,0.250,13590
fathmm-MKL_coding,0.759,0.955,0.721,0.162,0.512,0.905,0.250,14053
FATHMM,0.786,0.574,0.828,0.299,0.351,0.801,0.250,12922
MutPred,0.792,0.865,0.767,0.184,0.561,0.900,0.242,7886
SiPhy,0.824,0.476,0.893,0.315,0.366,0.840,0.227,13982
MPC,0.875,0.266,0.985,0.375,0.399,0.896,0.203,11702
GERP++,0.842,0.424,0.924,0.326,0.378,0.875,0.188,14033
phastCons17way_primate,0.807,0.399,0.886,0.357,0.288,0.780,0.188,14052
H1-hESC_fitCons,0.610,0.457,0.638,0.452,0.072,0.543,0.133,13427
GenoCanyon,0.393,0.946,0.285,0.385,0.198,0.783,0.125,14053
integrated_fitCons,0.590,0.462,0.614,0.462,0.057,0.539,0.109,13427
GM12878_fitCons,0.601,0.404,0.639,0.479,0.032,0.528,0.102,13427
HUVEC_fitCons,0.644,0.365,0.696,0.469,0.048,0.532,0.086,13427
MutationTaster,0.166,0.998,0.003,0.500,0.006,0.594,0.047,13945
phastCons470way_mammalian,0.836,0.000,1.000,0.500,0.000,0.845,0.023,14037
phastCons100way_vertebrate,0.837,0.000,1.000,0.500,0.000,0.851,0.023,14052
bStatistic,0.513,0.465,0.523,0.506,-0.009,0.484,0.008,13844
