VEP,Accuracy,Sensitivity,Specificity,BER,MCC,AUROC,Rank_score,N_prediction
AlphaMissense,0.660,0.666,0.631,0.351,0.238,0.693,0.953,5310
SuSPect,0.567,0.524,0.750,0.363,0.215,0.682,0.938,5295
VESPA,0.605,0.586,0.689,0.363,0.215,0.675,0.938,5317
VARITY_ER_LOO,0.626,0.622,0.643,0.368,0.210,0.678,0.891,5140
VARITY_ER,0.626,0.622,0.644,0.367,0.211,0.678,0.891,5140
EVE,0.696,0.723,0.590,0.343,0.265,0.688,0.859,1275
MetaRNN,0.692,0.735,0.510,0.378,0.206,0.681,0.844,5319
DeepSAV,0.669,0.693,0.566,0.371,0.211,0.678,0.836,5273
Polyphen2_HVAR,0.699,0.747,0.495,0.379,0.207,0.677,0.828,5081
SIFT4G,0.673,0.701,0.552,0.373,0.208,0.671,0.828,5281
SIFT,0.709,0.765,0.463,0.386,0.198,0.658,0.805,5097
PROVEAN,0.679,0.716,0.521,0.382,0.197,0.661,0.797,5150
CPT,0.492,0.412,0.835,0.377,0.200,0.680,0.789,5181
VARITY_R_LOO,0.668,0.696,0.548,0.378,0.201,0.678,0.781,5140
BayesDel_addAF,0.655,0.673,0.574,0.376,0.200,0.657,0.766,5318
VARITY_R,0.668,0.696,0.548,0.378,0.200,0.678,0.766,5140
ESM1b,0.670,0.701,0.536,0.382,0.195,0.657,0.734,5315
Polyphen2_HDIV,0.731,0.808,0.401,0.395,0.194,0.671,0.703,5081
BayesDel_noAF,0.606,0.597,0.646,0.378,0.191,0.657,0.703,5318
ESM1v,0.641,0.652,0.596,0.376,0.198,0.659,0.695,4616
Eigen,0.503,0.432,0.814,0.377,0.197,0.669,0.688,5128
VEST4,0.698,0.753,0.464,0.392,0.187,0.667,0.672,5288
MutScore,0.609,0.604,0.630,0.383,0.184,0.658,0.664,5299
Envision,0.656,0.682,0.546,0.386,0.186,0.651,0.664,5197
MutationAssessor,0.678,0.719,0.501,0.390,0.183,0.668,0.648,4841
CAPICE,0.663,0.694,0.527,0.390,0.181,0.644,0.648,4980
REVEL,0.576,0.552,0.683,0.383,0.183,0.656,0.617,5175
LASSIE,0.686,0.737,0.466,0.399,0.172,0.659,0.594,4951
Eigen-PC,0.496,0.429,0.786,0.393,0.172,0.655,0.539,5128
MISTIC,0.565,0.543,0.665,0.396,0.161,0.635,0.531,5090
ClinPred,0.773,0.895,0.246,0.430,0.163,0.687,0.531,5313
MutPred,0.654,0.689,0.498,0.406,0.154,0.645,0.523,4967
gMVP,0.580,0.567,0.636,0.398,0.159,0.635,0.516,4713
MetaSVM,0.506,0.451,0.742,0.403,0.153,0.631,0.500,5313
CADD,0.497,0.436,0.760,0.402,0.157,0.657,0.469,5319
M-CAP,0.711,0.788,0.376,0.418,0.149,0.630,0.453,5295
InMeRF,0.603,0.609,0.578,0.407,0.147,0.619,0.438,4980
LRT,0.632,0.664,0.495,0.420,0.129,0.595,0.438,5047
MetaLR,0.482,0.420,0.748,0.416,0.135,0.620,0.438,5313
PhDSNP,0.683,0.748,0.405,0.424,0.133,0.608,0.430,5303
PONP2,0.618,0.637,0.533,0.415,0.136,0.607,0.422,4258
MVP,0.556,0.539,0.627,0.417,0.130,0.610,0.375,5308
LIST-S2,0.643,0.691,0.431,0.439,0.101,0.608,0.367,5077
DEOGEN2,0.468,0.409,0.726,0.433,0.108,0.612,0.344,5125
fathmm-XF_coding,0.714,0.800,0.336,0.432,0.126,0.606,0.344,5078
UNEECON,0.419,0.324,0.830,0.423,0.131,0.625,0.344,4951
GERP++,0.480,0.442,0.643,0.457,0.068,0.563,0.266,5319
fathmm-MKL_coding,0.767,0.907,0.160,0.466,0.086,0.591,0.266,5316
SIGMA,0.508,0.480,0.628,0.446,0.085,0.567,0.242,1654
PrimateAI,0.395,0.313,0.751,0.468,0.054,0.572,0.219,5225
SiPhy,0.413,0.338,0.738,0.462,0.063,0.571,0.211,5308
DANN,0.416,0.341,0.740,0.460,0.067,0.597,0.211,5319
FATHMM,0.388,0.303,0.759,0.469,0.053,0.548,0.211,4917
MutFormer,0.433,0.372,0.696,0.466,0.056,0.569,0.203,4971
phastCons17way_primate,0.451,0.415,0.609,0.488,0.019,0.524,0.188,5319
MPC,0.274,0.129,0.916,0.477,0.054,0.582,0.172,4565
GenoCanyon,0.779,0.939,0.087,0.487,0.042,0.574,0.156,5319
integrated_fitCons,0.560,0.590,0.426,0.492,0.013,0.509,0.156,5132
HUVEC_fitCons,0.478,0.463,0.542,0.497,0.004,0.499,0.102,5132
H1-hESC_fitCons,0.506,0.511,0.485,0.502,-0.003,0.511,0.070,5132
phastCons100way_vertebrate,0.188,0.000,1.000,0.500,0.000,0.555,0.055,5319
phastCons470way_mammalian,0.188,0.000,1.000,0.500,0.000,0.539,0.055,5318
GM12878_fitCons,0.539,0.571,0.399,0.515,-0.024,0.497,0.055,5132
MutationTaster,0.812,1.000,0.000,0.500,0.000,0.600,0.047,5297
bStatistic,0.471,0.461,0.517,0.511,-0.017,0.491,0.047,5262
